ticker,simulated_date,action_A,action_B,true_label,k_return,correct_A,correct_B,flip_helped,flip_hurt
AAPL,2023-10-30,BUY,SELL,BUY,0.08663731020498153,1,0,False,True
JPM,2024-06-17,BUY,SELL,BUY,0.07103291604077114,1,0,False,True
JPM,2024-09-30,SELL,HOLD,BUY,0.05680193026948536,0,0,False,False
AAPL,2023-04-24,BUY,HOLD,BUY,0.04941631534354855,1,0,False,True
NVDA,2022-07-25,SELL,BUY,BUY,0.04517145247600213,0,1,True,False
JNJ,2022-10-17,HOLD,BUY,BUY,0.044300382177995264,0,1,True,False
JPM,2022-05-23,SELL,BUY,BUY,0.04390050946240281,0,1,True,False
JNJ,2022-02-28,BUY,SELL,BUY,0.043264159008446386,1,0,False,True
XOM,2025-10-13,SELL,BUY,BUY,0.03296513514470543,0,1,True,False
AAPL,2023-06-26,HOLD,BUY,HOLD,0.01516693085753201,1,1,False,False
JNJ,2023-04-24,SELL,BUY,HOLD,-0.008370078765039531,1,0,False,True
